Duty Date,Duty Category,Duty Type
2014-04-25,REST,REST
2014-04-26,SBY,SQ04
2014-04-27,OFF,XX
2014-04-28,OFF,XX
2014-04-29,REST,REST
2014-05-03,OFF,XX
2014-05-04,OFF,XX
2014-05-05,OFF,XX
2014-05-06,OFF,XX
2014-05-07,REST,REST
2014-05-11,OFF,XX
2014-05-12,TRG,ER91
2014-05-13,TRG,ER92
2014-05-14,REST,REST
2014-05-18,OFF,XX
2014-05-19,OFF,XX
2014-05-20,OFF,XX
2014-05-27,OFF,XX
2014-05-28,REST,REST
2014-06-01,OFF,XX
2014-06-02,OFF,XX
2014-06-06,OFF,XX
2014-06-07,OFF,XX
2014-06-14,OFF,XX
2014-06-15,OFF,XX
2014-06-19,REST,REST
2014-06-22,OFF,XX
2014-06-23,REST,REST
2014-06-28,OFF,XX
2014-06-29,OFF,XX
2014-07-04,OFF,XX
2014-07-05,OFF,XX
2014-07-06,TRG,ST1
2014-07-07,TRG,ST1
2014-07-08,TRG,ST1
2014-07-09,TRG,ST1
2014-07-10,TRG,ST1
2014-07-11,OFF,XX
2014-07-12,OFF,XX
2014-07-13,TRG,ST1
2014-07-14,TRG,ST1
2014-07-15,TRG,ST1
2014-07-16,TRG,ST1
2014-07-20,OFF,XX
2014-07-21,OFF,XX
2014-07-26,OFF,XX
2014-07-27,OFF,XX
2014-07-28,OFF,XX
2014-07-29,OFF,XX
2014-07-30,LVE,LV
2014-07-31,LVE,LV
2014-08-01,LVE,LV
2014-08-02,LVE,LV
2014-08-03,LVE,LV
2014-08-04,OFF,XX
2014-08-10,OFF,XX
2014-08-11,OFF,XX
2014-08-16,OFF,XX
2014-08-17,OFF,XX
2014-08-23,OFF,XX
2014-08-24,OFF,XX
2014-08-28,SCK,SK
2014-08-29,REST,REST
2014-08-30,OFF,XX
2014-09-06,OFF,XX
2014-09-10,OFF,XX
2014-09-11,OFF,XX
2014-09-12,OFF,XX
2014-09-16,OFF,XX
2014-09-17,OFF,XX
2014-09-25,OFF,XX
2014-09-26,OFF,XX
2014-09-27,OFF,XX
2014-10-01,REST,REST
2014-10-05,TRG,ST2
2014-10-06,TRG,ST2
2014-10-07,TRG,FSA
2014-10-08,TRG,FSA
2014-10-09,TRG,FSA
2014-10-10,OFF,XX
2014-10-11,OFF,XX
2014-10-15,OFF,XX
2014-10-19,OFF,XX
2014-10-23,OFF,XX
2014-10-24,OFF,XX
2014-10-28,OFF,XX
2014-10-29,OFF,XX
2014-10-30,REST,REST
2014-11-04,OFF,XX
2014-11-05,OFF,XX
2014-11-06,OFF,XX
2014-11-07,OFF,XX
2014-11-08,OFF,XX
2014-11-09,REST,REST
2014-11-13,OFF,XX
2014-11-20,OFF,XX
2014-11-21,OFF,XX
2014-11-25,OFF,XX
2014-11-26,OFF,XX
2014-11-27,OFF,XX
2014-11-28,SCK,SK
2014-11-29,SCK,SK
2014-11-30,SCK,SK
2014-12-01,SCK,SK
2014-12-02,SCK,SK
2014-12-03,SCK,SK
2014-12-04,SCK,SK
2014-12-05,SCK,SK
2014-12-06,SCK,SK
2014-12-07,SCK,SK
2014-12-08,SCK,SK
2014-12-09,SCK,SK
2014-12-10,SCK,SK
2014-12-11,SCK,SK
2014-12-12,SCK,SK
2014-12-13,SCK,SK
2014-12-14,SCK,SK
2014-12-15,SCK,SK
2014-12-16,SCK,SK
2014-12-17,OFF,XX
2014-12-18,LVE,LV
2014-12-19,LVE,LV
2014-12-20,LVE,LV
2014-12-21,LVE,LV
2014-12-22,LVE,LV
2014-12-23,LVE,LV
2014-12-24,LVE,LV
2014-12-25,LVE,LV
2014-12-26,OFF,XX
2014-12-27,OFF,TA
2014-12-28,OFF,TA
2014-12-29,OFF,TA
2014-12-30,OFF,XX
2015-01-03,OFF,XX
2015-01-07,OFF,XX
2015-01-08,OFF,XX
2015-01-09,OFF,XX
2015-01-10,REST,REST
2015-01-15,OFF,XX
2015-01-16,REST,REST
2015-01-19,OFF,XX
2015-01-20,OFF,XX
2015-01-21,TRG,SR2
2015-01-25,OFF,XX
2015-01-26,OFF,XX
2015-01-27,OFF,XX
2015-01-28,TRG,XG
2015-01-29,OFF,XX
2015-02-02,OFF,XX
2015-02-03,OFF,XX
2015-02-04,LVE,LV
2015-02-05,LVE,LV
2015-02-06,LVE,LV
2015-02-07,LVE,LV
2015-02-08,LVE,LV
2015-02-09,LVE,LV
2015-02-10,LVE,LV
2015-02-11,LVE,LV
2015-02-12,OFF,XX
2015-02-18,OFF,XX
2015-02-19,OFF,XX
2015-02-23,REST,REST
2015-02-24,OFF,XX
2015-03-02,OFF,XXR
2015-03-03,OFF,XXR
2015-03-06,OFF,XX
2015-03-07,OFF,XX
2015-03-08,OFF,XX
2015-03-13,OFF,XX
2015-03-14,OFF,XX
2015-03-15,OFF,XX
2015-03-16,REST,REST
2015-03-20,OFF,XX
2015-03-21,OFF,XX
2015-03-25,OFF,XX
2015-03-28,OFF,XXR
2015-04-01,OFF,XX
2015-04-02,OFF,XX
2015-04-07,OFF,XX
2015-04-08,OFF,XX
2015-04-09,SBY,SQ21
2015-04-14,OFF,XXR
2015-04-15,OFF,XXR
2015-04-20,OFF,XXR
2015-04-21,OFF,XXR
2015-04-22,SBY,SQ21
2015-04-23,REST,REST
2015-04-24,SBY,SQA0845
2015-04-25,SBY,SQ12
2015-04-26,OFF,XXR
2015-04-27,OFF,XXR
2015-04-28,OFF,XXR
2015-04-29,SBY,SQ21
2015-05-03,OFF,XXR
2015-05-04,OFF,XXR
2015-05-05,OFF,XXR
2015-05-06,SBY,SQ21
2015-05-10,OFF,XXR
2015-05-11,OFF,XXR
2015-05-15,REST,REST
2015-05-18,OFF,XX
2015-05-19,REST,REST
2015-05-21,OFF,XX
2015-05-22,OFF,XX
2015-05-23,OFF,XX
2015-05-24,REST,REST
2015-05-30,OFF,XX
2015-05-31,OFF,XXP
2015-06-01,OFF,XX
2015-06-02,TRG,ER31
2015-06-03,TRG,ER32
2015-06-07,OFF,XX
2015-06-08,OFF,XX
2015-06-09,OFF,XX
2015-06-16,OFF,XX
2015-06-17,OFF,XX
2015-06-21,OFF,XX
2015-06-25,OFF,XX
2015-06-26,OFF,XX
2015-06-27,OFF,XX
2015-06-28,OFF,XX
2015-07-03,OFF,XX
2015-07-04,OFF,XX
2015-07-05,OFF,XX
2015-07-10,OFF,XX
2015-07-14,REST,REST
2015-07-18,OFF,XX
2015-07-19,OFF,XX
2015-07-23,OFF,XX
2015-07-27,OFF,XX
2015-07-31,OFF,XX
2015-08-01,OFF,XX
2015-08-02,SCK,SK
2015-08-05,OFF,XX
2015-08-09,OFF,XX
2015-08-13,OFF,XX
2015-08-14,LVE,LV
2015-08-15,LVE,LV
2015-08-16,LVE,LV
2015-08-17,LVE,LV
2015-08-18,LVE,LV
2015-08-19,OFF,XX
2015-08-20,OFF,XX
2015-08-21,REST,REST
2015-08-25,OFF,XX
2015-08-26,OFF,XX
2015-08-30,REST,REST
2015-09-03,OFF,XX
2015-09-04,OFF,XX
2015-09-05,REST,REST
2015-09-09,OFF,XX
2015-09-10,REST,REST
2015-09-14,OFF,XX
2015-09-15,OFF,XX
2015-09-19,OFF,XX
2015-09-23,OFF,XX
2015-09-28,OFF,XX
2015-09-29,OFF,XX
2015-10-05,OFF,XX
2015-10-06,OFF,XX
2015-10-07,OFF,XX
2015-10-09,LVE,LV
2015-10-10,LVE,LV
2015-10-11,LVE,LV
2015-10-12,LVE,LV
2015-10-13,LVE,LV
2015-10-14,LVE,LV
2015-10-15,LVE,LV
2015-10-16,LVE,LV
2015-10-17,OFF,XX
2015-10-22,OFF,XX
2015-10-26,OFF,XX
2015-10-27,OFF,XX
2015-10-31,OFF,XX
2015-11-01,OFF,XX
2015-11-02,SCK,SK
2015-11-03,SCK,SK
2015-11-08,OFF,XX
2015-11-09,OFF,XX
2015-11-10,REST,REST
2015-11-14,OFF,XX
2015-11-15,OFF,XX
2015-11-22,OFF,XX
2015-11-23,OFF,XX
2015-11-27,REST,REST
2015-11-29,OFF,XX
2015-11-30,OFF,XX
2015-12-01,REST,REST
2015-12-05,OFF,XX
2015-12-06,OFF,XX
2015-12-07,LVE,LV
