Flight Date,Flight Number,Flight Departure,Flight Arrival,Grade,Departure Date,Arrival Date,Flight Time
2011-12-28,0303,PVG,DXB,GR2,2011-12-28 22:52:00,2011-12-29 04:51:00,10:03
2012-01-03,0001,DXB,LHR,GR2,2012-01-03 08:02:00,2012-01-03 12:02:00,08:06
2012-01-04,0002,LHR,DXB,GR2,2012-01-04 13:53:00,2012-01-05 00:39:00,06:50
2012-01-06,0097,DXB,FCO,GR2,2012-01-06 09:48:00,2012-01-06 12:59:00,06:19
2012-01-07,0098,FCO,DXB,GR2,2012-01-07 14:38:00,2012-01-07 22:55:00,05:21
2012-01-10,0201,DXB,JFK,GR2,2012-01-10 09:07:00,2012-01-10 14:18:00,14:25
2012-01-11,0202,JFK,DXB,GR2,2012-01-11 23:01:00,2012-01-12 20:20:00,12:22
2012-01-23,0322,DXB,ICN,GR2,2012-01-23 03:38:00,2012-01-23 15:58:00,07:27
2012-01-24,0323,ICN,DXB,GR2,2012-01-24 23:58:00,2012-01-25 05:44:00,10:49
2012-01-28,0306,DXB,PEK,GR2,2012-01-28 03:50:00,2012-01-28 14:21:00,06:36
2012-01-29,0307,PEK,DXB,GR2,2012-01-29 22:52:00,2012-01-30 03:50:00,09:06
2012-02-02,0073,DXB,CDG,GR2,2012-02-02 08:02:00,2012-02-02 12:15:00,07:28
2012-02-03,0074,CDG,DXB,GR2,2012-02-03 14:39:00,2012-02-03 23:58:00,06:22
2012-02-05,0073,DXB,CDG,GR2,2012-02-05 08:09:00,2012-02-05 12:19:00,07:22
2012-02-06,0074,CDG,DXB,GR2,2012-02-06 16:44:00,2012-02-07 01:37:00,06:02
2012-02-09,0049,DXB,MUC,GR2,2012-02-09 09:23:00,2012-02-09 12:43:00,06:28
2012-02-10,0050,MUC,DXB,GR2,2012-02-10 14:44:00,2012-02-10 23:04:00,05:24
2012-02-27,0201,DXB,JFK,GR2,2012-02-27 09:15:00,2012-02-27 14:18:00,14:11
2012-02-28,0202,JFK,DXB,GR2,2012-02-28 22:56:00,2012-02-29 19:58:00,12:07
2012-03-03,0003,DXB,LHR,GR2,2012-03-03 14:36:00,2012-03-03 18:05:00,07:38
2012-03-04,0004,LHR,DXB,GR2,2012-03-04 20:21:00,2012-03-05 06:52:00,06:37
2012-03-07,0306,DXB,PEK,GR2,2012-03-07 03:42:00,2012-03-07 14:20:00,06:43
2012-03-08,0307,PEK,DXB,GR2,2012-03-08 22:55:00,2012-03-09 03:15:00,08:26
2012-03-12,0372,DXB,BKK,GR2,2012-03-12 09:50:00,2012-03-12 18:42:00,06:05
2012-03-13,0373,BKK,DXB,GR2,2012-03-13 20:41:00,2012-03-14 00:42:00,07:04
2012-03-18,0372,DXB,BKK,GR2,2012-03-18 09:44:00,2012-03-18 18:50:00,06:12
2012-03-19,0373,BKK,DXB,GR2,2012-03-19 20:44:00,2012-03-20 00:04:00,06:25
2012-03-22,0306,DXB,PEK,GR2,2012-03-22 03:45:00,2012-03-22 14:40:00,07:01
2012-03-23,0307,PEK,DXB,GR2,2012-03-23 22:50:00,2012-03-24 03:22:00,08:43
