19-Sep-2011,OFF-XX,,,,
20-Sep-2011,OFF-XXC,,,,
21-Sep-2011,OFF-XXC,,,,
22-Sep-2011,OFF-XX,,,,
23-Sep-2011,0073/DXBCDG,GR2,23-Sep-2011 08:23,23-Sep-2011 13:32,07:21
24-Sep-2011,0074/CDGDXB,GR2,24-Sep-2011 15:44,25-Sep-2011 00:37,06:57
26-Sep-2011,OFF-XXR,,,,
27-Sep-2011,GRD-UV,,,,
28-Sep-2011,OFF-XXV,,,,
29-Sep-2011,OFF-XXR,,,,
30-Sep-2011,OFF-XXR,,,,
01-Oct-2011,OFF-XX,,,,
02-Oct-2011,OFF-XX,,,,
03-Oct-2011,0803/DXBJED,GR2,03-Oct-2011 16:41,03-Oct-2011 18:20,02:43
03-Oct-2011,0804/JEDDXB,GR2,03-Oct-2011 20:31,04-Oct-2011 00:12,02:44
05-Oct-2011,0761/DXBJNB,GR2,05-Oct-2011 04:39,05-Oct-2011 10:36,08:09
06-Oct-2011,0762/JNBDXB,GR2,06-Oct-2011 14:03,06-Oct-2011 23:52,08:
08-Oct-2011,OFF-XX,,,,
09-Oct-2011,0073/DXBCDG,GR2,09-Oct-2011 08:22,09-Oct-2011 13:22,07:10
10-Oct-2011,0074/CDGDXB,GR2,10-Oct-2011 15:35,11-Oct-2011 00:02,06:30
12-Oct-2011,0073/DXBCDG,GR2,12-Oct-2011 08:22,12-Oct-2011 13:24,07:09
13-Oct-2011,0074/CDGDXB,GR2,13-Oct-2011 15:34,13-Oct-2011 23:49,06:21
15-Oct-2011,OFF-XX,,,,
16-Oct-2011,OFF-XX,,,,
17-Oct-2011,REST-REST,,,,
18-Oct-2011,0306/DXBPEK,GR2,18-Oct-2011 04:27,18-Oct-2011 15:35,07:14
19-Oct-2011,0307/PEKDXB,GR2,19-Oct-2011 23:52,20-Oct-2011 03:51,08:11
21-Oct-2011,OFF-XX,,,,
22-Oct-2011,REST-REST,,,,
23-Oct-2011,0761/DXBJNB,GR2,23-Oct-2011 04:38,23-Oct-2011 10:34,08:09
24-Oct-2011,0762/JNBDXB,GR2,24-Oct-2011 13:59,25-Oct-2011 00:17,08:28
26-Oct-2011,OFF-XX,,,,
27-Oct-2011,OFF-XX,,,,
28-Oct-2011,OFF-XX,,,,
29-Oct-2011,LVE-LV,,,,
30-Oct-2011,LVE-LV,,,,
31-Oct-2011,LVE-LV,,,,
01-Nov-2011,LVE-LV,,,,
02-Nov-2011,LVE-LV,,,,
03-Nov-2011,OFF-XX,,,,
04-Nov-2011,0017/DXBMAN,GR2,04-Nov-2011 08:01,04-Nov-2011 11:37,07:43
05-Nov-2011,0018/MANDXB,GR2,05-Nov-2011 13:17,06-Nov-2011 00:55,07:42
07-Nov-2011,OFF-XXR,,,,
08-Nov-2011,OFF-XX,,,,
09-Nov-2011,REST-REST,,,,
10-Nov-2011,0306/DXBPEK,GR2,10-Nov-2011 03:48,10-Nov-2011 14:23,06:40
11-Nov-2011,0307/PEKDXB,GR2,11-Nov-2011 23:01,12-Nov-2011 03:49,08:51
13-Nov-2011,OFF-XX,,,,
14-Nov-2011,OFF-XX,,,,
15-Nov-2011,0017/DXBMAN,GR2,15-Nov-2011 07:57,15-Nov-2011 11:09,07:20
16-Nov-2011,0018/MANDXB,GR2,16-Nov-2011 13:16,17-Nov-2011 00:10,06:58
18-Nov-2011,OFF-XX,,,,
19-Nov-2011,OFF-XX,,,,
20-Nov-2011,SCK-SK,,,,
21-Nov-2011,REST-REST,,,,
22-Nov-2011,SBY-SA0200,,,,
23-Nov-2011,REST-REST,,,,
24-Nov-2011,0322/DXBICN,GR2,24-Nov-2011 03:39,24-Nov-2011 16:26,07:54
25-Nov-2011,0323/ICNDXB,GR2,25-Nov-2011 23:58,26-Nov-2011 06:02,11:08
27-Nov-2011,OFF-XX,,,,
28-Nov-2011,OFF-XX,,,,
29-Nov-2011,OFF-XX,,,,
30-Nov-2011,LVE-LV,,,,
01-Dec-2011,LVE-LV,,,,
02-Dec-2011,LVE-LV,,,,
03-Dec-2011,LVE-LV,,,,
04-Dec-2011,LVE-LV,,,,
05-Dec-2011,LVE-LV,,,,
06-Dec-2011,LVE-LV,,,,
07-Dec-2011,LVE-LV,,,,
08-Dec-2011,LVE-LV,,,,
09-Dec-2011,LVE-LV,,,,
10-Dec-2011,LVE-LV,,,,
11-Dec-2011,LVE-LV,,,,
12-Dec-2011,OFF-XX,,,,
13-Dec-2011,REST-REST,,,,
14-Dec-2011,0761/DXBJNB,GR2,14-Dec-2011 04:55,14-Dec-2011 10:42,07:56
15-Dec-2011,0762/JNBDXB,GR2,15-Dec-2011 14:10,16-Dec-2011 00:27,08:22
17-Dec-2011,0049/DXBMUC,GR2,17-Dec-2011 09:51,17-Dec-2011 13:10,06:26
18-Dec-2011,0050/MUCDXB,GR2,18-Dec-2011 14:22,18-Dec-2011 23:16,05:58
20-Dec-2011,OFF-XX,,,,
21-Dec-2011,OFF-XX,,,,
22-Dec-2011,OFF-XX,,,,
23-Dec-2011,OFF-XX,,,,
24-Dec-2011,REST-REST,,,,
25-Dec-2011,0302/DXBPVG,GR2,25-Dec-2011 03:29,25-Dec-2011 14:52,07:28
27-Dec-2011,REST-REST,,,,
28-Dec-2011,0303/PVGDXB,GR2,28-Dec-2011 22:52,29-Dec-2011 04:51,10:03
30-Dec-2011,OFF-XX,,,,
